ward,week_num,week_label,week_start_date,total_evictions
Ward 7,1,Week 1,2024-01-01,2
Ward 8,1,Week 1,2024-01-01,7
Ward 5,1,Week 1,2024-01-01,4
Ward 1,1,Week 1,2024-01-01,7
Ward 6,1,Week 1,2024-01-01,4
Ward 4,1,Week 1,2024-01-01,2
Ward 2,1,Week 1,2024-01-01,4
Ward 3,1,Week 1,2024-01-01,0
Ward 7,2,Week 2,2024-01-08,16
Ward 8,2,Week 2,2024-01-08,5
Ward 5,2,Week 2,2024-01-08,8
Ward 1,2,Week 2,2024-01-08,0
Ward 6,2,Week 2,2024-01-08,2
Ward 4,2,Week 2,2024-01-08,1
Ward 2,2,Week 2,2024-01-08,0
Ward 3,2,Week 2,2024-01-08,1
Ward 7,3,Week 3,2024-01-15,3
Ward 8,3,Week 3,2024-01-15,13
Ward 5,3,Week 3,2024-01-15,0
Ward 1,3,Week 3,2024-01-15,0
Ward 6,3,Week 3,2024-01-15,5
Ward 4,3,Week 3,2024-01-15,0
Ward 2,3,Week 3,2024-01-15,0
Ward 3,3,Week 3,2024-01-15,0
Ward 7,4,Week 4,2024-01-22,5
Ward 8,4,Week 4,2024-01-22,7
Ward 5,4,Week 4,2024-01-22,0
Ward 1,4,Week 4,2024-01-22,0
Ward 6,4,Week 4,2024-01-22,0
Ward 4,4,Week 4,2024-01-22,0
Ward 2,4,Week 4,2024-01-22,0
Ward 3,4,Week 4,2024-01-22,0
Ward 7,5,Week 5,2024-01-29,0
Ward 8,5,Week 5,2024-01-29,0
Ward 5,5,Week 5,2024-01-29,0
Ward 1,5,Week 5,2024-01-29,0
Ward 6,5,Week 5,2024-01-29,0
Ward 4,5,Week 5,2024-01-29,0
Ward 2,5,Week 5,2024-01-29,0
Ward 3,5,Week 5,2024-01-29,0
Ward 7,6,Week 6,2024-02-05,4
Ward 8,6,Week 6,2024-02-05,12
Ward 5,6,Week 6,2024-02-05,0
Ward 1,6,Week 6,2024-02-05,0
Ward 6,6,Week 6,2024-02-05,6
Ward 4,6,Week 6,2024-02-05,0
Ward 2,6,Week 6,2024-02-05,0
Ward 3,6,Week 6,2024-02-05,0
Ward 7,7,Week 7,2024-02-12,11
Ward 8,7,Week 7,2024-02-12,21
Ward 5,7,Week 7,2024-02-12,16
Ward 1,7,Week 7,2024-02-12,4
Ward 6,7,Week 7,2024-02-12,13
Ward 4,7,Week 7,2024-02-12,0
Ward 2,7,Week 7,2024-02-12,6
Ward 3,7,Week 7,2024-02-12,3
Ward 7,8,Week 8,2024-02-19,11
Ward 8,8,Week 8,2024-02-19,35
Ward 5,8,Week 8,2024-02-19,9
Ward 1,8,Week 8,2024-02-19,4
Ward 6,8,Week 8,2024-02-19,18
Ward 4,8,Week 8,2024-02-19,2
Ward 2,8,Week 8,2024-02-19,0
Ward 3,8,Week 8,2024-02-19,0
Ward 7,9,Week 9,2024-02-26,22
Ward 8,9,Week 9,2024-02-26,27
Ward 5,9,Week 9,2024-02-26,18
Ward 1,9,Week 9,2024-02-26,6
Ward 6,9,Week 9,2024-02-26,16
Ward 4,9,Week 9,2024-02-26,4
Ward 2,9,Week 9,2024-02-26,1
Ward 3,9,Week 9,2024-02-26,7
Ward 7,10,Week 10,2024-03-04,9
Ward 8,10,Week 10,2024-03-04,16
Ward 5,10,Week 10,2024-03-04,13
Ward 1,10,Week 10,2024-03-04,0
Ward 6,10,Week 10,2024-03-04,10
Ward 4,10,Week 10,2024-03-04,0
Ward 2,10,Week 10,2024-03-04,0
Ward 3,10,Week 10,2024-03-04,0
Ward 7,11,Week 11,2024-03-11,14
Ward 8,11,Week 11,2024-03-11,26
Ward 5,11,Week 11,2024-03-11,21
Ward 1,11,Week 11,2024-03-11,4
Ward 6,11,Week 11,2024-03-11,22
Ward 4,11,Week 11,2024-03-11,0
Ward 2,11,Week 11,2024-03-11,4
Ward 3,11,Week 11,2024-03-11,3
Ward 7,12,Week 12,2024-03-18,6
Ward 8,12,Week 12,2024-03-18,4
Ward 5,12,Week 12,2024-03-18,0
Ward 1,12,Week 12,2024-03-18,6
Ward 6,12,Week 12,2024-03-18,4
Ward 4,12,Week 12,2024-03-18,3
Ward 2,12,Week 12,2024-03-18,3
Ward 3,12,Week 12,2024-03-18,5
Ward 7,13,Week 13,2024-03-25,19
Ward 8,13,Week 13,2024-03-25,16
Ward 5,13,Week 13,2024-03-25,0
Ward 1,13,Week 13,2024-03-25,18
Ward 6,13,Week 13,2024-03-25,8
Ward 4,13,Week 13,2024-03-25,2
Ward 2,13,Week 13,2024-03-25,1
Ward 3,13,Week 13,2024-03-25,2
Ward 7,14,Week 14,2024-04-01,20
Ward 8,14,Week 14,2024-04-01,15
Ward 5,14,Week 14,2024-04-01,8
Ward 1,14,Week 14,2024-04-01,9
Ward 6,14,Week 14,2024-04-01,8
Ward 4,14,Week 14,2024-04-01,5
Ward 2,14,Week 14,2024-04-01,5
Ward 3,14,Week 14,2024-04-01,2
Ward 7,15,Week 15,2024-04-08,33
Ward 8,15,Week 15,2024-04-08,27
Ward 5,15,Week 15,2024-04-08,19
Ward 1,15,Week 15,2024-04-08,7
Ward 6,15,Week 15,2024-04-08,18
Ward 4,15,Week 15,2024-04-08,7
Ward 2,15,Week 15,2024-04-08,9
Ward 3,15,Week 15,2024-04-08,4
Ward 7,16,Week 16,2024-04-15,16
Ward 8,16,Week 16,2024-04-15,34
Ward 5,16,Week 16,2024-04-15,15
Ward 1,16,Week 16,2024-04-15,11
Ward 6,16,Week 16,2024-04-15,26
Ward 4,16,Week 16,2024-04-15,6
Ward 2,16,Week 16,2024-04-15,7
Ward 3,16,Week 16,2024-04-15,5
Ward 7,17,Week 17,2024-04-22,20
Ward 8,17,Week 17,2024-04-22,34
Ward 5,17,Week 17,2024-04-22,18
Ward 1,17,Week 17,2024-04-22,5
Ward 6,17,Week 17,2024-04-22,12
Ward 4,17,Week 17,2024-04-22,5
Ward 2,17,Week 17,2024-04-22,15
Ward 3,17,Week 17,2024-04-22,2
Ward 7,18,Week 18,2024-04-29,0
Ward 8,18,Week 18,2024-04-29,1
Ward 5,18,Week 18,2024-04-29,0
Ward 1,18,Week 18,2024-04-29,0
Ward 6,18,Week 18,2024-04-29,1
Ward 4,18,Week 18,2024-04-29,0
Ward 2,18,Week 18,2024-04-29,0
Ward 3,18,Week 18,2024-04-29,0
Ward 7,19,Week 19,2024-05-06,29
Ward 8,19,Week 19,2024-05-06,28
Ward 5,19,Week 19,2024-05-06,12
Ward 1,19,Week 19,2024-05-06,0
Ward 6,19,Week 19,2024-05-06,11
Ward 4,19,Week 19,2024-05-06,3
Ward 2,19,Week 19,2024-05-06,6
Ward 3,19,Week 19,2024-05-06,2
Ward 7,20,Week 20,2024-05-13,12
Ward 8,20,Week 20,2024-05-13,15
Ward 5,20,Week 20,2024-05-13,3
Ward 1,20,Week 20,2024-05-13,5
Ward 6,20,Week 20,2024-05-13,9
Ward 4,20,Week 20,2024-05-13,7
Ward 2,20,Week 20,2024-05-13,8
Ward 3,20,Week 20,2024-05-13,4
Ward 7,21,Week 21,2024-05-20,27
Ward 8,21,Week 21,2024-05-20,28
Ward 5,21,Week 21,2024-05-20,24
Ward 1,21,Week 21,2024-05-20,10
Ward 6,21,Week 21,2024-05-20,22
Ward 4,21,Week 21,2024-05-20,2
Ward 2,21,Week 21,2024-05-20,6
Ward 3,21,Week 21,2024-05-20,2
Ward 7,22,Week 22,2024-05-27,5
Ward 8,22,Week 22,2024-05-27,14
Ward 5,22,Week 22,2024-05-27,0
Ward 1,22,Week 22,2024-05-27,7
Ward 6,22,Week 22,2024-05-27,8
Ward 4,22,Week 22,2024-05-27,5
Ward 2,22,Week 22,2024-05-27,4
Ward 3,22,Week 22,2024-05-27,3
Ward 7,23,Week 23,2024-06-03,24
Ward 8,23,Week 23,2024-06-03,31
Ward 5,23,Week 23,2024-06-03,22
Ward 1,23,Week 23,2024-06-03,7
Ward 6,23,Week 23,2024-06-03,8
Ward 4,23,Week 23,2024-06-03,2
Ward 2,23,Week 23,2024-06-03,10
Ward 3,23,Week 23,2024-06-03,2
Ward 7,24,Week 24,2024-06-10,24
Ward 8,24,Week 24,2024-06-10,27
Ward 5,24,Week 24,2024-06-10,10
Ward 1,24,Week 24,2024-06-10,7
Ward 6,24,Week 24,2024-06-10,6
Ward 4,24,Week 24,2024-06-10,4
Ward 2,24,Week 24,2024-06-10,8
Ward 3,24,Week 24,2024-06-10,3
Ward 7,25,Week 25,2024-06-17,22
Ward 8,25,Week 25,2024-06-17,26
Ward 5,25,Week 25,2024-06-17,16
Ward 1,25,Week 25,2024-06-17,0
Ward 6,25,Week 25,2024-06-17,16
Ward 4,25,Week 25,2024-06-17,0
Ward 2,25,Week 25,2024-06-17,0
Ward 3,25,Week 25,2024-06-17,0
Ward 7,26,Week 26,2024-06-24,9
Ward 8,26,Week 26,2024-06-24,13
Ward 5,26,Week 26,2024-06-24,14
Ward 1,26,Week 26,2024-06-24,5
Ward 6,26,Week 26,2024-06-24,4
Ward 4,26,Week 26,2024-06-24,7
Ward 2,26,Week 26,2024-06-24,5
Ward 3,26,Week 26,2024-06-24,3
Ward 7,27,Week 27,2024-07-01,7
Ward 8,27,Week 27,2024-07-01,11
Ward 5,27,Week 27,2024-07-01,1
Ward 1,27,Week 27,2024-07-01,4
Ward 6,27,Week 27,2024-07-01,11
Ward 4,27,Week 27,2024-07-01,5
Ward 2,27,Week 27,2024-07-01,7
Ward 3,27,Week 27,2024-07-01,5
Ward 7,28,Week 28,2024-07-08,17
Ward 8,28,Week 28,2024-07-08,28
Ward 5,28,Week 28,2024-07-08,20
Ward 1,28,Week 28,2024-07-08,4
Ward 6,28,Week 28,2024-07-08,11
Ward 4,28,Week 28,2024-07-08,8
Ward 2,28,Week 28,2024-07-08,4
Ward 3,28,Week 28,2024-07-08,5
Ward 7,29,Week 29,2024-07-15,18
Ward 8,29,Week 29,2024-07-15,24
Ward 5,29,Week 29,2024-07-15,16
Ward 1,29,Week 29,2024-07-15,8
Ward 6,29,Week 29,2024-07-15,15
Ward 4,29,Week 29,2024-07-15,4
Ward 2,29,Week 29,2024-07-15,6
Ward 3,29,Week 29,2024-07-15,1
Ward 7,30,Week 30,2024-07-22,17
Ward 8,30,Week 30,2024-07-22,27
Ward 5,30,Week 30,2024-07-22,10
Ward 1,30,Week 30,2024-07-22,8
Ward 6,30,Week 30,2024-07-22,8
Ward 4,30,Week 30,2024-07-22,4
Ward 2,30,Week 30,2024-07-22,4
Ward 3,30,Week 30,2024-07-22,5
Ward 7,31,Week 31,2024-07-29,19
Ward 8,31,Week 31,2024-07-29,26
Ward 5,31,Week 31,2024-07-29,14
Ward 1,31,Week 31,2024-07-29,2
Ward 6,31,Week 31,2024-07-29,7
Ward 4,31,Week 31,2024-07-29,5
Ward 2,31,Week 31,2024-07-29,5
Ward 3,31,Week 31,2024-07-29,4
Ward 7,32,Week 32,2024-08-05,26
Ward 8,32,Week 32,2024-08-05,11
Ward 5,32,Week 32,2024-08-05,4
Ward 1,32,Week 32,2024-08-05,3
Ward 6,32,Week 32,2024-08-05,12
Ward 4,32,Week 32,2024-08-05,5
Ward 2,32,Week 32,2024-08-05,4
Ward 3,32,Week 32,2024-08-05,1
Ward 7,33,Week 33,2024-08-12,11
Ward 8,33,Week 33,2024-08-12,16
Ward 5,33,Week 33,2024-08-12,10
Ward 1,33,Week 33,2024-08-12,3
Ward 6,33,Week 33,2024-08-12,12
Ward 4,33,Week 33,2024-08-12,3
Ward 2,33,Week 33,2024-08-12,4
Ward 3,33,Week 33,2024-08-12,5
Ward 7,34,Week 34,2024-08-19,12
Ward 8,34,Week 34,2024-08-19,16
Ward 5,34,Week 34,2024-08-19,20
Ward 1,34,Week 34,2024-08-19,5
Ward 6,34,Week 34,2024-08-19,12
Ward 4,34,Week 34,2024-08-19,3
Ward 2,34,Week 34,2024-08-19,5
Ward 3,34,Week 34,2024-08-19,1
Ward 7,35,Week 35,2024-08-26,19
Ward 8,35,Week 35,2024-08-26,11
Ward 5,35,Week 35,2024-08-26,21
Ward 1,35,Week 35,2024-08-26,8
Ward 6,35,Week 35,2024-08-26,15
Ward 4,35,Week 35,2024-08-26,4
Ward 2,35,Week 35,2024-08-26,3
Ward 3,35,Week 35,2024-08-26,5
Ward 7,36,Week 36,2024-09-02,8
Ward 8,36,Week 36,2024-09-02,26
Ward 5,36,Week 36,2024-09-02,9
Ward 1,36,Week 36,2024-09-02,8
Ward 6,36,Week 36,2024-09-02,13
Ward 4,36,Week 36,2024-09-02,3
Ward 2,36,Week 36,2024-09-02,5
Ward 3,36,Week 36,2024-09-02,4
Ward 7,37,Week 37,2024-09-09,16
Ward 8,37,Week 37,2024-09-09,18
Ward 5,37,Week 37,2024-09-09,17
Ward 1,37,Week 37,2024-09-09,9
Ward 6,37,Week 37,2024-09-09,19
Ward 4,37,Week 37,2024-09-09,6
Ward 2,37,Week 37,2024-09-09,5
Ward 3,37,Week 37,2024-09-09,3
Ward 7,38,Week 38,2024-09-16,12
Ward 8,38,Week 38,2024-09-16,11
Ward 5,38,Week 38,2024-09-16,7
Ward 1,38,Week 38,2024-09-16,4
Ward 6,38,Week 38,2024-09-16,12
Ward 4,38,Week 38,2024-09-16,5
Ward 2,38,Week 38,2024-09-16,2
Ward 3,38,Week 38,2024-09-16,6
Ward 7,39,Week 39,2024-09-23,10
Ward 8,39,Week 39,2024-09-23,10
Ward 5,39,Week 39,2024-09-23,15
Ward 1,39,Week 39,2024-09-23,6
Ward 6,39,Week 39,2024-09-23,7
Ward 4,39,Week 39,2024-09-23,5
Ward 2,39,Week 39,2024-09-23,2
Ward 3,39,Week 39,2024-09-23,5
Ward 7,40,Week 40,2024-09-30,9
Ward 8,40,Week 40,2024-09-30,15
Ward 5,40,Week 40,2024-09-30,8
Ward 1,40,Week 40,2024-09-30,6
Ward 6,40,Week 40,2024-09-30,5
Ward 4,40,Week 40,2024-09-30,4
Ward 2,40,Week 40,2024-09-30,2
Ward 3,40,Week 40,2024-09-30,3
Ward 7,41,Week 41,2024-10-07,11
Ward 8,41,Week 41,2024-10-07,30
Ward 5,41,Week 41,2024-10-07,15
Ward 1,41,Week 41,2024-10-07,4
Ward 6,41,Week 41,2024-10-07,8
Ward 4,41,Week 41,2024-10-07,5
Ward 2,41,Week 41,2024-10-07,9
Ward 3,41,Week 41,2024-10-07,2
Ward 7,42,Week 42,2024-10-14,14
Ward 8,42,Week 42,2024-10-14,25
Ward 5,42,Week 42,2024-10-14,14
Ward 1,42,Week 42,2024-10-14,4
Ward 6,42,Week 42,2024-10-14,10
Ward 4,42,Week 42,2024-10-14,4
Ward 2,42,Week 42,2024-10-14,7
Ward 3,42,Week 42,2024-10-14,1
Ward 7,43,Week 43,2024-10-21,5
Ward 8,43,Week 43,2024-10-21,12
Ward 5,43,Week 43,2024-10-21,6
Ward 1,43,Week 43,2024-10-21,7
Ward 6,43,Week 43,2024-10-21,8
Ward 4,43,Week 43,2024-10-21,8
Ward 2,43,Week 43,2024-10-21,10
Ward 3,43,Week 43,2024-10-21,10
Ward 7,44,Week 44,2024-10-28,4
Ward 8,44,Week 44,2024-10-28,10
Ward 5,44,Week 44,2024-10-28,1
Ward 1,44,Week 44,2024-10-28,2
Ward 6,44,Week 44,2024-10-28,4
Ward 4,44,Week 44,2024-10-28,2
Ward 2,44,Week 44,2024-10-28,2
Ward 3,44,Week 44,2024-10-28,2
Ward 7,45,Week 45,2024-11-04,0
Ward 8,45,Week 45,2024-11-04,0
Ward 5,45,Week 45,2024-11-04,0
Ward 1,45,Week 45,2024-11-04,0
Ward 6,45,Week 45,2024-11-04,0
Ward 4,45,Week 45,2024-11-04,0
Ward 2,45,Week 45,2024-11-04,0
Ward 3,45,Week 45,2024-11-04,0
Ward 7,46,Week 46,2024-11-11,0
Ward 8,46,Week 46,2024-11-11,0
Ward 5,46,Week 46,2024-11-11,0
Ward 1,46,Week 46,2024-11-11,0
Ward 6,46,Week 46,2024-11-11,1
Ward 4,46,Week 46,2024-11-11,0
Ward 2,46,Week 46,2024-11-11,1
Ward 3,46,Week 46,2024-11-11,0
Ward 7,47,Week 47,2024-11-18,2
Ward 8,47,Week 47,2024-11-18,0
Ward 5,47,Week 47,2024-11-18,7
Ward 1,47,Week 47,2024-11-18,0
Ward 6,47,Week 47,2024-11-18,5
Ward 4,47,Week 47,2024-11-18,0
Ward 2,47,Week 47,2024-11-18,0
Ward 3,47,Week 47,2024-11-18,0
Ward 7,48,Week 48,2024-11-25,0
Ward 8,48,Week 48,2024-11-25,0
Ward 5,48,Week 48,2024-11-25,0
Ward 1,48,Week 48,2024-11-25,0
Ward 6,48,Week 48,2024-11-25,0
Ward 4,48,Week 48,2024-11-25,0
Ward 2,48,Week 48,2024-11-25,0
Ward 3,48,Week 48,2024-11-25,0
Ward 7,49,Week 49,2024-12-02,10
Ward 8,49,Week 49,2024-12-02,7
Ward 5,49,Week 49,2024-12-02,13
Ward 1,49,Week 49,2024-12-02,5
Ward 6,49,Week 49,2024-12-02,11
Ward 4,49,Week 49,2024-12-02,2
Ward 2,49,Week 49,2024-12-02,5
Ward 3,49,Week 49,2024-12-02,7
Ward 7,50,Week 50,2024-12-09,13
Ward 8,50,Week 50,2024-12-09,32
Ward 5,50,Week 50,2024-12-09,13
Ward 1,50,Week 50,2024-12-09,5
Ward 6,50,Week 50,2024-12-09,12
Ward 4,50,Week 50,2024-12-09,11
Ward 2,50,Week 50,2024-12-09,6
Ward 3,50,Week 50,2024-12-09,5
Ward 7,51,Week 51,2024-12-16,26
Ward 8,51,Week 51,2024-12-16,26
Ward 5,51,Week 51,2024-12-16,12
Ward 1,51,Week 51,2024-12-16,8
Ward 6,51,Week 51,2024-12-16,14
Ward 4,51,Week 51,2024-12-16,4
Ward 2,51,Week 51,2024-12-16,2
Ward 3,51,Week 51,2024-12-16,2
Ward 7,52,Week 52,2024-12-23,0
Ward 8,52,Week 52,2024-12-23,0
Ward 5,52,Week 52,2024-12-23,0
Ward 1,52,Week 52,2024-12-23,0
Ward 6,52,Week 52,2024-12-23,0
Ward 4,52,Week 52,2024-12-23,0
Ward 2,52,Week 52,2024-12-23,0
Ward 3,52,Week 52,2024-12-23,0
Ward 7,53,Week 53,2024-12-30,0
Ward 8,53,Week 53,2024-12-30,0
Ward 5,53,Week 53,2024-12-30,0
Ward 1,53,Week 53,2024-12-30,0
Ward 6,53,Week 53,2024-12-30,0
Ward 4,53,Week 53,2024-12-30,0
Ward 2,53,Week 53,2024-12-30,0
Ward 3,53,Week 53,2024-12-30,0
